country,customer,deadline,description,number,price,url_addr
BLR,"ОАО ""Витебская бройлерная птицефабрика""",2019-07-22,"автомобиля Hyundai Accent , базовое исполнение (или аналог)",2019-730739,30 000,http://www.icetrade.by/tenders/all/view/730739
BLR,"УП ""БЕЛЖЕЛДОРСНАБ""",2019-07-17,устройство контроля усилия стрелочных приводов УКРУП-12ТЦ,2019-730738,0,http://www.icetrade.by/tenders/all/view/730738
BLR,"ОАО ""Витебскхлебпром""",2019-07-17,Закупка печи,2019-730737,60 000,http://www.icetrade.by/tenders/all/view/730737
BLR,"ОАО ""Здравушка-милк""",2019-07-22,"топпер с наполнителем разноцветное какао-драже, покрытое сахарной глазурью",2019-730735,73 038,http://www.icetrade.by/tenders/all/view/730735
BLR,"ОАО ""БМЗ- управляющая компания холдинга ""БМК""",2019-07-19,Закупка магнитного вибрата,2019-730734,17 500,http://www.icetrade.by/tenders/all/view/730734
BLR,"ОАО ""Стройтрест № 3 Ордена Октябрьской революции""",2019-07-23,Закупка монолитного поликарбоната,2019-730733,0,http://www.icetrade.by/tenders/all/view/730733
BLR,"Государственное предприятие ""ЖРЭУ г. Пинска""",2019-07-17,Текущий ремонт жилых домов,2019-730513,169 462.33,http://www.icetrade.by/tenders/all/view/730513
BLR,"ОАО ""Слуцкий сахарорафинадный комбинат""",2019-07-31,Закупка пленки для упаковки сырого жома по лотам,2019-730709,3 000,http://www.icetrade.by/tenders/all/view/730709
BLR,"Государственное областное унитарное предприятие ""Управление капитального строительства Гродненского облисполкома""",2019-07-24,"лот № 1 «Электросушители  для рук», лот №2 «Холодильное оборудование», лот №3 «Линия раздачи обедов и плита электрическая», лот № 4 «Водонагреватель», лот №5 «Кухонное настольное оборудование» для комплектации объекта: «Здание общежития на 1030 мест УО «Гродненский государственный медицинский университет» в квартале учебных заведений по ул. Курчатова в г. Гродно».",2019-730326,22 550,http://www.icetrade.by/tenders/all/view/730326
BLR,"Государственное предприятие ""УКС Несвижского района""",2019-08-07,Строительство водопроводной сети и артскважины,2019-728563,721 533,http://www.icetrade.by/tenders/all/view/728563
BLR,"ОАО ""АСБ Беларусбанк""",2019-07-18,Музыкальное оборудование для учреждений ОАО «АСБ Беларусбанк»,2019-730427,28 000,http://www.icetrade.by/tenders/all/view/730427
country,customer,deadline,description,number,price,url_addr
BLR,"ОАО ""МАЗ"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""",2019-07-29,«Ремонт железнодорожного путепровода по ул.Промышленной в г.Минске».,2019-730849,0,http://www.icetrade.by/tenders/all/view/730849
BLR,"ОАО ""ГЗЛиН""",2019-08-02,"пластины.державки и запчасти к ним по ТУ  BY690614829.001-2010,ISO",2019-730848,0,http://www.icetrade.by/tenders/all/view/730848
BLR,"ОАО ""МИНСКИЙ ЗАВОД ""ТЕРМОПЛАСТ""",2019-07-18,Электродвигатель для электрокофемолки,2019-730847,0,http://www.icetrade.by/tenders/all/view/730847
BLR,"Унитарное предприятие ""Барановичский зооветснаб""",2019-07-22,"Выбор подрядной организации для выполнения работ по сносу здания на объекте ""Снос здания склада ГСМ с инвентарным номером 110/С54869 по ул.Слонимское шоссе, 47В/2 в г.Барановичи""",2019-730845,0,http://www.icetrade.by/tenders/all/view/730845
BLR,"ОАО ""ГЗЛиН""",2019-07-31,Ремонт котлов,2019-730844,45 000,http://www.icetrade.by/tenders/all/view/730844
BLR,"ООО ""СанТрейдИнженеринг""",2019-07-19,Разработка проектно-сметной документации,2019-730843,70 000,http://www.icetrade.by/tenders/all/view/730843
BLR,"ОАО ""Борисовдрев""",2019-07-30,Закупка набивного шнека в комплекте дренажом для цеха МДФ ОАО «Борисовдрев».,2019-730842,81 100,http://www.icetrade.by/tenders/all/view/730842
BLR,"ОАО ""ГЗЛиН""",2019-08-02,тиски по IO,2019-730838,0,http://www.icetrade.by/tenders/all/view/730838
BLR,"ОАО ""Управляющая компания холдинга ""Бобруйскагромаш""",2019-07-31,частичная замена двутавровой балки подвесных подкрановых путей,2019-730837,0,http://www.icetrade.by/tenders/all/view/730837
BLR,"ОАО ""Витебские ковры""",2019-07-16,Закупка нити полиэфирной,2019-730836,42 000,http://www.icetrade.by/tenders/all/view/730836
BLR,"ОАО ""МАЗ"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""",2019-07-16,"доставка 4 двигателей и систем нейтрализации жд транспортом по маршруту г. Пекин, Китай - ОАО ""МАЗ"", г. Минск, Беларусь",2019-730835,0,http://www.icetrade.by/tenders/all/view/730835
BLR,"ГЛХУ ""Слонимский лесхоз""",2019-07-18,"Переговоры, проводимые по выбору проектной организации: «Строительство шумоизоляционного ограждения на территории ДОЦ от жилой застройки в д.Петралевичи-II»",2019-730834,7 000,http://www.icetrade.by/tenders/all/view/730834
BLR,"Государственное областное унитарное предприятие ""Управление капитального строительства Гродненского облисполкома""",2019-07-24,"№ 1 «Приборы бытовые электрические», лот №2 «Верстаки, тиски, доски гладильные», лот №3 «Аппарат кассовый», лот № 4 «Машина стиральная бытовая», лот №5 «Машина швейная промышленная»",2019-730305,8 400,http://www.icetrade.by/tenders/all/view/730305
BLR,"ОАО ""СМТ №41"" г.Сморгонь",2019-07-26,закупка постановочного освещения,2019-730833,206 601,http://www.icetrade.by/tenders/all/view/730833
BLR,"ЗАО ""Гомельский ВСЗ""",2019-07-17,Закупка песка,2019-730832,224 817,http://www.icetrade.by/tenders/all/view/730832
BLR,"ООО ""ГродноАгроинвест""",2019-07-16,"Кран шаровой, клапан, компенсатор",2019-730831,0,http://www.icetrade.by/tenders/all/view/730831
BLR,"ОАО ""МАЗ"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""",2019-07-16,"Доставка моста для автобуса из порта Циндао, Китай",2019-730830,0,http://www.icetrade.by/tenders/all/view/730830
BLR,"УП ""ЖРЭО ЗАВОДСКОГО РАЙОНА Г.МИНСКА""",2019-07-19,"Выбор подрядной организации на выполнение работ по благоустройству прилегающей к зданию территории по ул. Ангарская, д. 36",2019-730828,111 418,http://www.icetrade.by/tenders/all/view/730828
BLR,"ОАО ""СМТ №41"" г.Сморгонь",2019-07-26,закупка звукового оборудования,2019-730827,198 063.95,http://www.icetrade.by/tenders/all/view/730827
BLR,"УП ""МИНСКМЕТРОСТРОЙ""",2019-08-09,Выбор генподрядной организации для разработки проектной документации и выполнения изыскательских работ,2019-730720,474 000,http://www.icetrade.by/tenders/all/view/730720
BLR,"ОАО ""Нафтан""",2019-07-24,Cварочный агрегат с приводным двигателем в комплекте с запасными частями согласно техническому заданию на закупку (Приложение №1) - 2 комплекта,2019-730826,0,http://www.icetrade.by/tenders/all/view/730826
BLR,"ОАО ""Беларуськалий""",2019-07-17,Закупка запасных частей к иномаркам,2019-730824,0,http://www.icetrade.by/tenders/all/view/730824
BLR,"Учреждение ""МИНСКОЕ ОБЛАСТНОЕ УПРАВЛЕНИЕ МЧС""",2019-07-22,Текущий ремонт помещений ПАСЧ №3 на объектах Несвижского УМГ ОАО «ГАЗПРОМ ТРАНСГАЗ БЕЛАРУСЬ,2019-730823,66 655.33,http://www.icetrade.by/tenders/all/view/730823
BLR,Гомельский опытный лесхоз,2019-07-25,Система цифровой двусторонней радиосвязи (для работы в диапазоне частот – 146-174 МГц),2019-730822,65 000,http://www.icetrade.by/tenders/all/view/730822
BLR,"ОАО ""Селекционно-гибридный центр ""Западный""",2019-08-12,Ремонт и комплектующие к ремонту газопоршневого двигателя MAN E2876LE302 (2006 г.в.) № 30112802341277 биогазовой установки свинокомплекса,2019-730821,0,http://www.icetrade.by/tenders/all/view/730821
BLR,"ОАО ""Гродно Азот""",2019-08-01,Закупка масла Mobil DTE 732,2019-730820,0,http://www.icetrade.by/tenders/all/view/730820
BLR,"ОАО ""Мозырский НПЗ""",2019-08-01,закупка запасных частей для компрессоров Howden,2019-730819,0,http://www.icetrade.by/tenders/all/view/730819
BLR,РЦТО МЧС РБ,2019-07-17,выбор инженерной организации на осуществление технического надзора и составление сметной документации на объекты текущего ремонта,2019-730818,0,http://www.icetrade.by/tenders/all/view/730818
BLR,"ОАО ""Беловежский""",2019-07-31,«тест-наборы в период с 01.09.2019г по 31.12.2019г.»,2019-730817,0,http://www.icetrade.by/tenders/all/view/730817
BLR,"ОАО ""Витебские ковры""",2019-07-16,закупка джутовой пряжи,2019-730816,230 000,http://www.icetrade.by/tenders/all/view/730816
BLR,"ОАО ""АСБ Беларусбанк""",2019-07-22,ремонт,2019-730487,2 420,http://www.icetrade.by/tenders/all/view/730487
BLR,"РУП ""БЕЛПОЧТА""",2019-07-18,Закупка расходных материалов для фискальных регистраторов Epson,2019-730815,0,http://www.icetrade.by/tenders/all/view/730815
BLR,"Управление по образованию, спорту и туризму Червенского районного исполнительного комитета",2019-07-15,выбор подрядной организации по установке систем молниезащиты в здание школы и столовой ГУО «Средняя школа №2 им. А.К. Флегонтова г.Червеня».,2019-730814,11 160,http://www.icetrade.by/tenders/all/view/730814
BLR,"ОАО ""АСБ Беларусбанк""",2019-07-22,строительно-монтажные работы,2019-730484,4 567,http://www.icetrade.by/tenders/all/view/730484
BLR,"ОАО ""Городейский сахарный комбинат""",2019-08-01,закупка плёнки для упаковочного пресса,2019-730813,0,http://www.icetrade.by/tenders/all/view/730813
BLR,"РУП ""МИНСКЭНЕРГО""",2019-07-17,Ремонт каналов подачи топлива (щепы) котла КЕ-25 МТЭЦ г. Вилейка,2019-730812,31 600,http://www.icetrade.by/tenders/all/view/730812
BLR,"ОАО ""Бресттекстильторг""",2019-07-16,Снос проходной с вывозом строительных отходов,2019-730481,0,http://www.icetrade.by/tenders/all/view/730481
BLR,"ОАО ""АГАТ-системы управления"" - управляющая компания холдинга ""Геоинформационные системы управления""",2019-07-17,Мачта телескопическая STV-12/128 или аналог,2019-730811,71 709.60,http://www.icetrade.by/tenders/all/view/730811
BLR,"ОАО ""Беловежский""",2019-07-16,«Глифосат содержащий гербицид»,2019-730810,0,http://www.icetrade.by/tenders/all/view/730810
BLR,"ОАО ""Могилевлифтмаш""",2019-07-31,Ремонт в раме (наработка между 22000 и 40000 моточасов) когенерационного оборудования CATERPILLAR G3516С (КГУ-1) серийный номер GZZ00267/А5А00174,2019-730808,298 588.54,http://www.icetrade.by/tenders/all/view/730808
BLR,"ОАО ""БМЗ- управляющая компания холдинга ""БМК""",2019-07-18,"1.Строительно-монтажные работы по объекту.«МЦ. Организация помещения граверной в кабинете №6 з/у№1» 2.Строительно-монтажные и пусконаладочные работы по объекту ""ЭСПЦ-1. Замена инжекторов, панелей и водоохлаждаемых блоков на каркасе ДСП-1.""",2019-730807,53 477.50,http://www.icetrade.by/tenders/all/view/730807
BLR,"ОАО ""ИНТЕГРАЛ"" - управляющая компания холдинга ""ИНТЕГРАЛ""",2019-07-16,"Припой Felder Sn63Pb37 Elr 1% 0,75мм",2019-730806,0,http://www.icetrade.by/tenders/all/view/730806
BLR,"ОАО ""Витебские ковры""",2019-07-16,Закупка нити полиэфирной текстурированной,2019-730805,32 000,http://www.icetrade.by/tenders/all/view/730805
BLR,Представительство АО «НИАЭП» в Республике Беларусь,2019-07-19,№ 80123/65 «Поставка мобильных ограждений»,2019-730804,24 482.64,http://www.icetrade.by/tenders/all/view/730804
BLR,"Государственное предприятие ""УКС Солигорского района """,2019-08-12,Выбор генеральной проектной организации на проектно-изыскательские работы по объекту: «Строительство пожарного депо в г. Солигорске»,2019-730803,100 000,http://www.icetrade.by/tenders/all/view/730803
BLR,филиал РУП «Могилевэнерго» Инженерный центр,2019-07-26,"Закупка проектно-изыскательских работ по объекту ""Телемеханизация Климовичского РЭС"" в части проектирования сетей и оборудования связи (РРЛС, ЛВС, радиосвязь).",2019-730802,60 000,http://www.icetrade.by/tenders/all/view/730802
BLR,ОАО «Агрокомбинат «Скидельский»,2019-07-18,Закупка машины для мойки яйца для филиала «Скидельская птицефабрика»,2019-730801,40 000,http://www.icetrade.by/tenders/all/view/730801
BLR,"Государственное предприятие ""УКС Лепельского района""",2019-07-17,"выбор проектной организации  на внесение изменений в проектно-сметную документацию (отделка квартир) по объекту «40-квартирный жилой дом по ул. Советская, 38В в г. Лепеле» (с последующими согласованиями и проведением государственной экспертизы проекта)",2019-730691,1 920,http://www.icetrade.by/tenders/all/view/730691
BLR,"ГУ ""БОРИСОВСКОЕ ЭУ ВС""",2019-07-18,"выполнение ремонтно - строительных работ на объекте текущего ремонта ""Комендатура инв.№18/26.г. Борисов"" (2 очередь)",2019-730799,31 492,http://www.icetrade.by/tenders/all/view/730799
BLR,Управление по образованию Оршанского райисполкома,2019-07-26,текущий ремонт кровли и вентиляционных шахт  в ГУО «Ясли-сад №16 г.Орши»,2019-730798,10 000,http://www.icetrade.by/tenders/all/view/730798
BLR,"ОАО ""Белэлектромонтаж"" Филиал ""ЭМУ-2""",2019-07-18,Выполнение работ по строительству светофорного регулирования и сетей связи ОРУД,2019-730797,63 083.06,http://www.icetrade.by/tenders/all/view/730797
BLR,Управление по образованию Оршанского райисполкома,2019-07-26,Текущий ремонт асфальтобетонного покрытия в государственном учреждении образования «Ясли-сад №23 г.Орши»,2019-730795,15 000,http://www.icetrade.by/tenders/all/view/730795
BLR,"ОАО ""МАЗ"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""",2019-07-31,Вакцина для проведения вакцинации против гриппа,2019-730794,0,http://www.icetrade.by/tenders/all/view/730794
BLR,"ОАО ""Мозырский НПЗ""",2019-07-16,закупка лопастей для аппаратов воздушного охлаждения,2019-730793,18 000,http://www.icetrade.by/tenders/all/view/730793
BLR,"ОАО ""Городейский сахарный комбинат""",2019-07-22,Этикетка самоклеящаяся,2019-730792,0,http://www.icetrade.by/tenders/all/view/730792
BLR,"ОАО ""Могилевхлебопродукт""-управляющая компания холдинга ""Могилевхлебопродукт""",2019-07-18,Закупка шрота соевого,2019-730791,75 000,http://www.icetrade.by/tenders/all/view/730791
BLR,"ООО ""Котлоэнергосервис-СМУ""",2019-07-19,закупка щебня,2019-730790,16 500,http://www.icetrade.by/tenders/all/view/730790
BLR,"ОАО ""Слуцкий льнозавод""",2019-08-12,"семена льна-долгунца : Сорта импортной селекции:- репродукция супер элиты, элиты и РС-1 в объеме 100 тонн",2019-730789,600 000,http://www.icetrade.by/tenders/all/view/730789
BLR,"Государственное предприятие ""Жилищное коммунальное хозяйство Ленинского района г. Минска""",2019-07-22,"выбор подрядных организаций для выполнения работ по текущему ремонту балконов и фасада жилых домов №№ 12, 16, 18 по пр. Независимости, а также балконов кв. № 54 жилого дома № 55 по ул. Плеханова в г.Минске",2019-730788,10 485.47,http://www.icetrade.by/tenders/all/view/730788
BLR,"ОАО ""Беларуськалий""",2019-07-22,закупка газонокосильной машины (аналог Ma.Tra-350),2019-730786,0,http://www.icetrade.by/tenders/all/view/730786
BLR,"ОАО ""МЭТЗ ИМ.В.И.КОЗЛОВА""",2019-08-01,Закупка проводов,2019-730785,1 057 140,http://www.icetrade.by/tenders/all/view/730785
BLR,"Государственное предприятие ""Белаэронавигация""",2019-07-17,Закупка лотков проволочных,2019-730784,15 500,http://www.icetrade.by/tenders/all/view/730784
BLR,"Бобруйское государственное предприятие ""Водоканал""",2019-07-19,"Разработка ПСД ""Тепловая модернизация стен здания ремонтного цеха инв. № 1562 по ул. Урицкого, 2 в г. Бобруйске""",2019-730783,0,http://www.icetrade.by/tenders/all/view/730783
BLR,"ОАО ""Стройтрест №7""",2019-07-16,"Закупка  №215 – Метро – кабель, коробки",2019-730782,167.64,http://www.icetrade.by/tenders/all/view/730782
BLR,"Гродненское республиканское унитарное предприятие электроэнергетики ""Гродноэнерго""",2019-07-17,Моторизированная система подъема ЖК-монитора,2019-730781,51 480,http://www.icetrade.by/tenders/all/view/730781
BLR,"ОАО ""СМТ №41"" г.Сморгонь",2019-07-18,закупка механического оборудования (одежда сцены),2019-730780,75 000,http://www.icetrade.by/tenders/all/view/730780
BLR,"Бобруйское государственное предприятие ""Водоканал""",2019-07-17,Фреза дорожная к трактору МТЗ-82 в комплекте с ходоуменьшителем,2019-730447,16 440,http://www.icetrade.by/tenders/all/view/730447
