number,customer,description,price,deadline,country,url_addr,created_at,updated_at
2019-725286,Министерство связи и информатизации Республики Беларусь,Закупка научно-исследовательской и опытно-конструкторской работы по мероприятию 13 «Развитие Государственной системы управления открытыми ключами проверки электронной цифровой подписи Республики Беларусь» подпрограммы 2 «Инфраструктура информатизации» Государственной программы развития цифровой экономики и информационного общества на 2016 – 2020 годы,0,2019-07-22,BLR,http://www.icetrade.by/tenders/all/view/725286,,
2019-725285,"РУП ""Брестэнерго""","Закупка разъединителей 110 кВ для комплектации объекта капитального строительства «Реконструкция ПС 110/10/6 кВ «Северная» в г. Брест» Внесение изменений.""",0,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/725285,,
2019-725284,"РУП ""Брестэнерго""","Закупка трансформаторов напряжения 110 кВ для комплектации объекта капитального строительства «Реконструкция ПС 110/10/6 кВ «Северная» в г. Брест» Внесение изменений"".",0,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/725284,,
2019-725283,"РУП ""Брестэнерго""",Закупка элегазовых выключателей 110 кВ для комплектации объекта капитального строительства «Реконструкция ПС 110/10/6 кВ «Северная» в г. Брест» Внесение изменений».,0,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/725283,,
2019-725282,"РУП ""Брестэнерго""",Закупка трансформаторов тока для комплектации объекта капитального строительства «Реконструкция ПС 110/10/6 кВ «Северная» в г. Брест» Внесение изменений».,0,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/725282,,
2019-725281,"РУП ""Брестэнерго""",Закупка ограничителей перенапряжения для комплектации объекта капитального строительства «Реконструкция ПС 110/10/6 кВ «Северная» в г. Брест» Внесение изменений».,0,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/725281,,
2019-725280,Столинский территориальный центр социального обслуживания населения,Выбор подрядной организации для поставки и установки оборудования «Платформа подъемная с наклонным перемещением для инвалидов» согласно проектной документации,30 000,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/725280,,
2019-725279,Витебский областной суд,Гидропромывка и гидроиспытание внутренних систем отопления,15 263.98,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/725279,,
2019-725278,"Бобруйское государственное предприятие ""Водоканал""",осуществление комплекса режимных гидрогеологических наблюдений через сеть наблюдательных скважин в течение 1 календарного года.,7 000,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/725278,,
2019-725277,Витебский областной суд,ПЭВМ и периферийные устройства,3 260,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/725277,,
2019-725276,НАЦИОНАЛЬНЫЙ ИНСТИТУТ ОБРАЗОВАНИЯ,"Закупка полиграфических услуг по изготовлению из материалов Исполнителя в 2019 году (III квартал) учебных, учебно-методических пособий для учреждений дошкольного и общего среднего образования к 2019/2020 учебному году",0,2019-07-11,BLR,http://www.icetrade.by/tenders/all/view/725276,,
2019-725275,Минкультуры,"Обеспечение участия белорусской делегации в фестивале Союзного государства ""Творчество юных"" в г.Анапа (Российская Федерация)",70 687,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/725275,,
2019-725274,"Учреждение образования ""Гродненский государственный университет имени Янки Купалы""",Закупка  непрерывного диодного лазера для рамановской спектроскопии с длиной волны 632.8 нм,19 000,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/725274,,
2019-725273,"Учреждение ""МИНСКОЕ ОБЛАСТНОЕ УПРАВЛЕНИЕ МЧС""",Запасные части для автомобилей УАЗ,0,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/725273,,
2019-725272,Войсковая часть 68473,Закупка скамеек для столовой войсковой части 68473,12 000,2019-07-06,BLR,http://www.icetrade.by/tenders/all/view/725272,,
2019-725271,"Учреждение образования ""Гродненский государственный университет имени Янки Купалы""",Закупка аппарата для испытания диэлектриков в составе прибора АИД-70М и блока питания высоковольтного или аналога за счёт средств республиканского бюджета,14 500,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/725271,,
2019-725270,"РУП ""Брестэнерго""","Закупка силового трансформатора для комплектации объекта капитального строительства «Реконструкция ПС 110/10/6 кВ «Северная» в г. Брест» Внесение изменений""",0,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/725270,,
2019-725269,"Государственное предприятие ""УКС Борисовского района""","Выбор подрядной (генподрядной) организации для разработки предпроектной (прединвестиционной) документации, выполнения проектно-изыскательских работ по объекту ""Модернизация автоматизированной системы централизованного оповещения Борисовского района Минской области""",7 800,2019-07-09,BLR,http://www.icetrade.by/tenders/all/view/725269,,
2019-725268,"Учреждение ""МИНСКОЕ ОБЛАСТНОЕ УПРАВЛЕНИЕ МЧС""","Автошина 16.00R20, модель Бел-95 или аналог",10 200,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/725268,,
2019-725267,НИИ ПБ И ЧС МЧС БЕЛАРУСИ,выбор подрядной организации на выполнение проектно-изыскательских работ по внесению изменений по объекту «Центр безопасности» по ул. Олешева в г. Минске (II очередь строительства – раздел «Технология»),85 000,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/725267,,
2019-725266,Инспекция МНС по Железнодорожному району г.Витебска,"Кондиционеры настенного типа, включая установку и наладку.",10 540,2019-07-09,BLR,http://www.icetrade.by/tenders/all/view/725266,,
2019-725265,"Государственное учреждение ""Гомельский областной драматический театр""","Модерннизация объекта:""Устройство системы оповещения людей о пожаре и управления эвакуацией, системы вывода сигнала о срабатывании и неисправности установок пожарной автоматики на пульт диспетчеризации МЧС",60 000,2019-07-23,BLR,http://www.icetrade.by/tenders/all/view/725265,,
2019-725263,"РУП ""Брестэнерго""",закупка резисторов заземления нейтрали 6-10 кВ для комплектации объекта капитального строительства «Реконструкция ПС 110/10/6 кВ «Северная» в г. Брест» Внесение изменений,0,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/725263,,
2019-725262,Управление по образованию Бобруйского горисполкома,"компьютеры, ноутбуки",6 444.71,2019-07-09,BLR,http://www.icetrade.by/tenders/all/view/725262,,
2019-725261,ИК № 20 управления ДИН МВД по Гомельской области,"Закупка картофеля позднего для закладки, капусты поздней для закладки, моркови столовой поздней для закладки, свеклы столовой поздней для закладки, лук репчатый поздний для закладки, огурцы соленые",113 427,2019-07-11,BLR,http://www.icetrade.by/tenders/all/view/725261,,
