number,customer,description,price,deadline,country,url_addr,created_at,updated_at
2019-724571,Национальная государственная телерадиокомпания Республики Беларусь,"Приобретение ПЭВМ, МФУ, принтеров",0,2019-07-10,BLR,http://www.icetrade.by/tenders/all/view/724571,,
2019-724570,"РУП ""Производственное объединение ""Белоруснефть""",Выполнения строительно-монтажных и пусконаладочных работ по модернизацим пассажирских лифтов,142 028,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/724570,,
2019-724569,"Государственное предприятие ""УКС г.Могилева""",: Выбор генеральной подрядной организации на  строительство объекта «Многоквартирный жилой дом  №6 по  улице Криулина с благоустройством прилегающей территории в городе Могилеве».,9 883 790,2019-07-22,BLR,http://www.icetrade.by/tenders/all/view/724569,,
2019-724568,"Учреждение ""Гомельская областная клиническая психиатрическая больница""","Колбаса на 3,4-й квартал 2019 года",6 400,2019-07-01,BLR,http://www.icetrade.by/tenders/all/view/724568,,
2019-724567,"УП ""Медтехника"" г.Витебск","ВитМТ № 102/19-ЭА Лоты № 1 - 5
 «Лабораторное оборудование, оборудование для стерилизации и дезинфекции»",0,2019-07-11,BLR,http://www.icetrade.by/tenders/all/view/724567,,
2019-724566,"Коммунальное производственное унитарное предприятие ""Петриковский райжилкомхоз""",Выбор подрядной организации для выполнения строительно монтажных работ по устройству ограждений по объекту,0,2019-07-22,BLR,http://www.icetrade.by/tenders/all/view/724566,,
2019-724565,"Шкловское УКП ""Жилкомхоз""",Строительно-монтажные работы по текущему ремонту дороги,15 400,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/724565,,
2019-724564,"Унитарное предприятие ""УКС города Барановичи""","Выполнение предпроектных и изыскательских работ, разработка строительного проекта и ведение авторского надзора по объекту  «Группа многоквартирных жилых домов по ул. Бадака в г. Барановичи», включая инженерные сети и благоустройство.",240 000,2019-06-25,BLR,http://www.icetrade.by/tenders/all/view/724564,,
2019-724563,"РЕСПУБЛИКАНСКИЙ ЦЕНТР ГИГИЕНЫ, ЭПИДЕМИОЛОГИИ И ОБЩЕСТВЕННОГО ЗДОРОВЬЯ",электронный аукцион на закупку тест-систем биохимических для идентификации энтеробактерий и листерий в наборах,0,2019-07-11,BLR,http://www.icetrade.by/tenders/all/view/724563,,
2019-724562,"РУП ""Белоруснефть-Гомельоблнефтепродукт""",Тележки гидравлические,40,2019-06-25,BLR,http://www.icetrade.by/tenders/all/view/724562,,
2019-724561,"Государственное предприятие ""УКС Червенского района""","Выбор подрядной организации для проведения строительно - монтажных работ по объекту ""Капитальный ремонт дома №4 по ул. Богдана Хмельницкого, г.Червень""",1 056 723,2019-07-23,BLR,http://www.icetrade.by/tenders/all/view/724561,,
2019-724560,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи",БарМТ № 410/19 - Портативный аппарат ИВЛ,0,2019-07-12,BLR,http://www.icetrade.by/tenders/all/view/724560,,
2019-724559,"Витебское областное коммунальное унитарное предприятие водопроводно-канализационного хозяйства ""Витебскоблводоканал""","Закупка материалов для объекта: ""Модернизация участка водопроводной сети в деревне Дубровка, Ушачского района""",0,2019-07-10,BLR,http://www.icetrade.by/tenders/all/view/724559,,
2019-724558,ИНСТИТУТ ГЕНЕТИКИ И ЦИТОЛОГИИ НАН БЕЛАРУСИ,закупка реагентов для проведения  научных исследований,0,2019-06-30,BLR,http://www.icetrade.by/tenders/all/view/724558,,
2019-724557,"Унитарное предприятие ""Бобруйская ПМК""","Плитка тротуарная для выполнения работ на объекте ""Установка торговых рядов (группы павильонов) на территории рынка по ул. К.Маркса ,49 в г. Бобруйске(3- я очередь) строительства»",25 992,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/724557,,
2019-724556,ГХУ УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РЕСПУБЛИКИ БЕЛАРУСЬ,"Текущий ремонт женских санузлов на 3 и 4 этаже в административном здании по ул.Кирова,15 в г.Минске",42 409.69,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/724556,,
2019-724555,РНПЦ НЕВРОЛОГИИ И НЕЙРОХИРУРГИИ,Пленка для защиты операционного поля,0,2019-07-11,BLR,http://www.icetrade.by/tenders/all/view/724555,,
2019-724554,"ОАО ""Гродногазстройизоляция""",Плитка и бордюр тротуарный,3 547.20,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/724554,,
2019-724553,"РУП ""Медтехника""","МогМТ№87/19-ЭА""Оборудование реанимационное""",0,2019-07-11,BLR,http://www.icetrade.by/tenders/all/view/724553,,
2019-724552,РНПЦ НЕВРОЛОГИИ И НЕЙРОХИРУРГИИ,"ПВЭМ (компьютеры), сервер, многофункциональное устройство",0,2019-07-10,BLR,http://www.icetrade.by/tenders/all/view/724552,,
2019-724551,"РУП ""Гродноавтодор""","Оказание услуг по измерению геометрических параметров, прочности дорожной одежды, ровности и сцепных свойств покрытия",6 800,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/724551,,
2019-724550,"ГУПП ""Берёзовское ЖКХ""","Услуга по выбору инженерной организации для оказания инженерных услуг по комплексному управлению строительной деятельностью, осуществлению технического надзора по объекту: «Строительство станции обезжелезивания воды агрогородка Кабаки Березовского района»",3 764.40,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/724550,,
2019-724549,"Витебская областная СДЮШОР профсоюзов по гребле на байдарках и каноэ ""Альбатрос""",подвесные лодочные моторы «Mercury»,0,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/724549,,
2019-724548,"ОАО ""МИНСКРЕМСТРОЙ""",станции управления повысительными насосами  и насосы центробежные  на объект: «Капитальный ремонт жилого дома № 1 по ул. Варвашени  в г. Минске».,25 723.99,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/724548,,
2019-724547,"УП ""Медтехника"" г.Витебск",ВитМТ № 101/19-ЭА Лоты № 1 - 2 «Весы медицинские для новорожденных и взрослых пациентов»,0,2019-07-11,BLR,http://www.icetrade.by/tenders/all/view/724547,,
2019-724546,"Коммунальное проектно-ремонтно-строительное унитарное предприятие ""Гомельоблдорстрой""",автомобиль легковой типа автобус ГАЗ 32212-757 «Бизнес» или аналог новый выпуска 2019г. - 1ед.             (код по ОКРБ 29.10.30.530),41 150,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/724546,,
2019-724545,"ОАО ""БелЭнергоСнабКомплект""",Аккумуляторные батареи,0,2019-07-02,BLR,http://www.icetrade.by/tenders/all/view/724545,,
2019-724544,"ООО ""Аналог-Строй""",Закупка окон ПВХ и балконных рам,164 630,2019-07-25,BLR,http://www.icetrade.by/tenders/all/view/724544,,
2019-724543,"Учреждение ""Речицкая районная ветеринарная станция""",Туберкулин,7 985,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/724543,,
2019-724542,"УП ""БЕЛМЕДТЕХНИКА""",БелМТ №348/19-ПЭА «Каталки медицинские»,0,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/724542,,
2019-724541,Минский клинический консультативно-диагностический центр,"МККДЦ№42/19-ЗЦПп ""Аттестация/испытания средств измерений""",0,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/724541,,
2019-724540,"РУП ""Минскэнерго""","Закупка работ (услуг) по долгосрочному сервисному обслуживанию газовой турбины типа GT13E2, электрогенератора типа 50WY21Z-095 и вспомогательных систем энергоблока ПГУ-230 филиала «Минская ТЭЦ-3»",0,2019-07-12,BLR,http://www.icetrade.by/tenders/all/view/724540,,
2019-724539,"РУП ""Белоруснефть-Брестоблнефтепродукт""","выбор подрядной организации на строительство объекта «Реконструкция сетей теплоснабжения с переводом на электроотопление административных зданий, расположенных по адресу: г. Брест, ул. Героев обороны Брестской крепости, 13».",364 565,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/724539,,
2019-724538,ГХУ УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РЕСПУБЛИКИ БЕЛАРУСЬ,"Текущий ремонт крылец и замена дверных блоков в административном здании по ул.Кирова,15 в г.Минске",183 006.38,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/724538,,
2019-724537,"КУП ""Жилищно-коммунальное хозяйство Гродненского района""",Насосы для установки на артскважинах (с целью снижения потребления топливно-энергетических ресурсов),5 000,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/724537,,
2019-724536,"РУП ""Производственное объединение ""Белоруснефть""",Лабораторное оборудование,25 755,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/724536,,
2019-724535,"Витебская областная СДЮШОР профсоюзов по гребле на байдарках и каноэ ""Альбатрос""",лодка алюминиевая «Вельбот-37»,0,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/724535,,
